English Category	Portuguese Category
Geography & Locations	Geografia & Locais
Flora and Fauna	Flora e Fauna
Historical Figures & Events	Figuras & Eventos Históricos
Culture & Society	Cultura & Sociedade
Religion & Spirituality	Religião & Espiritualidade
Economy & Industry	Economia & Indústria
Architecture & Monuments	Arquitetura & Monumentos
Arts & Literature	Artes & Literatura
Science & Technology	Ciência & Tecnologia
Health & Medicine	Saúde & Medicina
Education & Academia	Educação & Academia
Politics & Governance	Política & Governação
Transportation & Infrastructure	Transportes & Infraestrutura
Environmental Issues	Questões Ambientais
Miscellaneous	Diversos
